,co2_equivalent_emissions_kg_per_MWh
2019-11-30 11:00:00,151.666763
2019-11-30 12:00:00,169.163406
2019-11-30 13:00:00,162.621475
2019-11-30 14:00:00,154.980133
2019-11-30 15:00:00,165.992737
2019-11-30 16:00:00,179.23436
2019-11-30 17:00:00,179.057083
2019-11-30 18:00:00,187.073502
2019-11-30 19:00:00,190.019684
2019-11-30 20:00:00,193.941971
2019-11-30 21:00:00,188.87468
2019-11-30 22:00:00,178.473251
2019-11-30 23:00:00,166.310028
2019-12-01 00:00:00,270.353333
2019-12-01 01:00:00,267.34552
2019-12-01 02:00:00,273.758026
2019-12-01 03:00:00,259.731323
2019-12-01 04:00:00,253.037888
2019-12-01 05:00:00,319.400818
2019-12-01 06:00:00,304.114288
2019-12-01 07:00:00,239.020554
2019-12-01 08:00:00,187.344955
2019-12-01 09:00:00,180.141205
2019-12-01 10:00:00,164.264984
2019-12-01 11:00:00,157.002991
2019-12-01 12:00:00,148.407898
2019-12-01 13:00:00,140.294189
2019-12-01 14:00:00,140.072784
2019-12-01 15:00:00,145.009415
2019-12-01 16:00:00,149.491959
2019-12-01 17:00:00,144.297745
2019-12-01 18:00:00,140.898254
2019-12-01 19:00:00,114.196205
2019-12-01 20:00:00,117.149628
2019-12-01 21:00:00,135.287506
2019-12-01 22:00:00,102.009224
2019-12-01 23:00:00,84.373779
2019-12-02 00:00:00,78.829918
2019-12-02 01:00:00,79.093636
2019-12-02 02:00:00,94.993301
2019-12-02 03:00:00,145.930908
2019-12-02 04:00:00,118.554855
2019-12-02 05:00:00,145.002151
2019-12-02 06:00:00,161.494995
2019-12-02 07:00:00,169.343613
2019-12-02 08:00:00,161.014191
2019-12-02 09:00:00,152.160568
2019-12-02 10:00:00,153.0271
2019-12-02 11:00:00,157.989609
2019-12-02 12:00:00,169.210617
2019-12-02 13:00:00,171.471359
2019-12-02 14:00:00,191.869202
2019-12-02 15:00:00,217.530121
2019-12-02 16:00:00,228.425583
2019-12-02 17:00:00,235.131042
2019-12-02 18:00:00,248.906693
2019-12-02 19:00:00,238.804413
2019-12-02 20:00:00,251.690201
2019-12-02 21:00:00,292.794098
2019-12-02 22:00:00,249.402359
2019-12-02 23:00:00,295.565094
2019-12-03 00:00:00,331.892517
2019-12-03 01:00:00,315.387238
2019-12-03 02:00:00,332.647095
2019-12-03 03:00:00,296.149933
2019-12-03 04:00:00,242.481232
2019-12-03 05:00:00,220.626724
2019-12-03 06:00:00,226.32933
2019-12-03 07:00:00,213.781662
2019-12-03 08:00:00,162.428711
2019-12-03 09:00:00,143.016876
2019-12-03 10:00:00,87.1716
2019-12-03 11:00:00,114.083031
2019-12-03 12:00:00,84.846832
2019-12-03 13:00:00,77.164703
2019-12-03 14:00:00,74.436455
2019-12-03 15:00:00,79.978615
2019-12-03 16:00:00,140.272079
2019-12-03 17:00:00,92.566284
2019-12-03 18:00:00,76.573608
2019-12-03 19:00:00,84.557579
2019-12-03 20:00:00,83.518898
2019-12-03 21:00:00,82.095955
2019-12-03 22:00:00,85.663124
2019-12-03 23:00:00,76.75573
2019-12-04 00:00:00,78.89447
2019-12-04 01:00:00,94.604523
2019-12-04 02:00:00,113.915764
2019-12-04 03:00:00,133.123352
2019-12-04 04:00:00,126.998383
2019-12-04 05:00:00,170.451157
2019-12-04 06:00:00,194.225906
2019-12-04 07:00:00,197.512405
2019-12-04 08:00:00,192.49437
2019-12-04 09:00:00,171.222809
2019-12-04 10:00:00,133.087677
2019-12-04 11:00:00,115.675797
2019-12-04 12:00:00,124.00946
2019-12-04 13:00:00,163.487259
2019-12-04 14:00:00,176.206726
2019-12-04 15:00:00,164.837692
2019-12-04 16:00:00,136.737732
2019-12-04 17:00:00,107.336159
2019-12-04 18:00:00,107.901497
2019-12-04 19:00:00,114.94986
2019-12-04 20:00:00,78.444214
2019-12-04 21:00:00,67.646103
2019-12-04 22:00:00,71.225761
2019-12-04 23:00:00,66.318535
2019-12-05 00:00:00,102.272873
2019-12-05 01:00:00,70.876595
2019-12-05 02:00:00,83.479874
