,co2_equivalent_emissions_kg_per_MWh
2022-01-01 00:00:00,70.099139
2022-01-01 01:00:00,74.969235
2022-01-01 02:00:00,77.748241
2022-01-01 03:00:00,123.837992
2022-01-01 04:00:00,131.42191
2022-01-01 05:00:00,152.488087
2022-01-01 06:00:00,186.854595
2022-01-01 07:00:00,230.891967
2022-01-01 08:00:00,261.264984
2022-01-01 09:00:00,250.759518
2022-01-01 10:00:00,248.819605
2022-01-01 11:00:00,254.866356
2022-01-01 12:00:00,244.538263
2022-01-01 13:00:00,239.741665
2022-01-01 14:00:00,230.534177
2022-01-01 15:00:00,210.260265
2022-01-01 16:00:00,213.877111
2022-01-01 17:00:00,197.974895
2022-01-01 18:00:00,153.093396
2022-01-01 19:00:00,126.918702
2022-01-01 20:00:00,105.059935
2022-01-01 21:00:00,91.324867
2022-01-01 22:00:00,66.421056
2022-01-01 23:00:00,70.74124
2022-01-02 00:00:00,68.132324
2022-01-02 01:00:00,63.359788
2022-01-02 02:00:00,124.996458
2022-01-02 03:00:00,142.856123
2022-01-02 04:00:00,142.074399
2022-01-02 05:00:00,150.535483
2022-01-02 06:00:00,142.414314
2022-01-02 07:00:00,158.585642
2022-01-02 08:00:00,167.04157
2022-01-02 09:00:00,181.693796
2022-01-02 10:00:00,196.385369
2022-01-02 11:00:00,171.910872
2022-01-02 12:00:00,189.64684
2022-01-02 13:00:00,151.914714
2022-01-02 14:00:00,185.058206
2022-01-02 15:00:00,185.338547
2022-01-02 16:00:00,186.843891
2022-01-02 17:00:00,141.111949
2022-01-02 18:00:00,110.128857
2022-01-02 19:00:00,100.31006
2022-01-02 20:00:00,76.293079
2022-01-02 21:00:00,78.731222
2022-01-02 22:00:00,142.857311
2022-01-02 23:00:00,152.893823
2022-01-03 00:00:00,156.200426
2022-01-03 01:00:00,154.659609
2022-01-03 02:00:00,144.683713
2022-01-03 03:00:00,137.859504
2022-01-03 04:00:00,137.614205
2022-01-03 05:00:00,136.51068
2022-01-03 06:00:00,115.158901
2022-01-03 07:00:00,130.121022
2022-01-03 08:00:00,115.810646
2022-01-03 09:00:00,100.040872
2022-01-03 10:00:00,95.845964
2022-01-03 11:00:00,102.142808
2022-01-03 12:00:00,100.393953
2022-01-03 13:00:00,105.391256
2022-01-03 14:00:00,119.24339
2022-01-03 15:00:00,113.55856
2022-01-03 16:00:00,121.056817
2022-01-03 17:00:00,112.618408
2022-01-03 18:00:00,112.598237
2022-01-03 19:00:00,134.572978
2022-01-03 20:00:00,170.287637
2022-01-03 21:00:00,179.467639
2022-01-03 22:00:00,181.534765
2022-01-03 23:00:00,204.72976
