,co2_intensity_kg_per_MWh
01/01/2018 00:00,117.622253
01/01/2018 01:00,121.941872
01/01/2018 02:00,116.661736
01/01/2018 03:00,115.401222
01/01/2018 04:00,111.733955
01/01/2018 05:00,106.884216
01/01/2018 06:00,111.471115
01/01/2018 07:00,108.090302
01/01/2018 08:00,104.541367
01/01/2018 09:00,103.763031
01/01/2018 10:00,105.920502
01/01/2018 11:00,99.153099
01/01/2018 12:00,89.934799
01/01/2018 13:00,96.832146
01/01/2018 14:00,110.914902
01/01/2018 15:00,156.713211
01/01/2018 16:00,196.324997
01/01/2018 17:00,205.333054
01/01/2018 18:00,191.867355
01/01/2018 19:00,172.679062
01/01/2018 20:00,169.708344
01/01/2018 21:00,179.433151
01/01/2018 22:00,188.407578
01/01/2018 23:00,199.418106
02/01/2018 00:00,203.919876
02/01/2018 01:00,203.560989
02/01/2018 02:00,208.747772
02/01/2018 03:00,203.88295
02/01/2018 04:00,223.227768
02/01/2018 05:00,236.288727
02/01/2018 06:00,194.491806
02/01/2018 07:00,190.730347
02/01/2018 08:00,164.182983
02/01/2018 09:00,163.411484
02/01/2018 10:00,149.716171
02/01/2018 11:00,141.003998
02/01/2018 12:00,144.367752
02/01/2018 13:00,168.272964
02/01/2018 14:00,173.502563
02/01/2018 15:00,189.168594
02/01/2018 16:00,186.969284
02/01/2018 17:00,200.546097
02/01/2018 18:00,183.973236
02/01/2018 19:00,149.816162
02/01/2018 20:00,169.208878
02/01/2018 21:00,172.09523
02/01/2018 22:00,151.221603
02/01/2018 23:00,130.600296
03/01/2018 00:00,112.303406
03/01/2018 01:00,102.313271
03/01/2018 02:00,101.01915
03/01/2018 03:00,95.052979
03/01/2018 04:00,95.583466
03/01/2018 05:00,94.675926
03/01/2018 06:00,122.666756
03/01/2018 07:00,144.017731
03/01/2018 08:00,151.227112
03/01/2018 09:00,172.722687
03/01/2018 10:00,172.618759
03/01/2018 11:00,186.526459
03/01/2018 12:00,220.311279
03/01/2018 13:00,240.028427
03/01/2018 14:00,288.431732
03/01/2018 15:00,313.412689
03/01/2018 16:00,312.678436
03/01/2018 17:00,310.543671
03/01/2018 18:00,267.184082
03/01/2018 19:00,220.70137
03/01/2018 20:00,200.453415
03/01/2018 21:00,191.226913
03/01/2018 22:00,181.165085
03/01/2018 23:00,179.193161
04/01/2018 00:00,177.280319
04/01/2018 01:00,174.104599
04/01/2018 02:00,171.264847
04/01/2018 03:00,172.275452
04/01/2018 04:00,185.87265
04/01/2018 05:00,215.720551
04/01/2018 06:00,239.574036
04/01/2018 07:00,227.747437
04/01/2018 08:00,208.543243
04/01/2018 09:00,187.14325
04/01/2018 10:00,194.236862
04/01/2018 11:00,192.199234
04/01/2018 12:00,189.141129
04/01/2018 13:00,205.1539
04/01/2018 14:00,207.587097
04/01/2018 15:00,218.986694
04/01/2018 16:00,234.340973
04/01/2018 17:00,236.550125
04/01/2018 18:00,229.426636
04/01/2018 19:00,197.9561
04/01/2018 20:00,171.190323
04/01/2018 21:00,158.202393
04/01/2018 22:00,206.752243
04/01/2018 23:00,222.847946
05/01/2018 00:00,235.048447
05/01/2018 01:00,207.833282
05/01/2018 02:00,229.958893
05/01/2018 03:00,227.548859
05/01/2018 04:00,242.825836
05/01/2018 05:00,250.031418
05/01/2018 06:00,208.145279
05/01/2018 07:00,200.439758
05/01/2018 08:00,185.11264
05/01/2018 09:00,208.722351
05/01/2018 10:00,212.038544
05/01/2018 11:00,214.188644
05/01/2018 12:00,219.562485
05/01/2018 13:00,217.495514
05/01/2018 14:00,218.699966
05/01/2018 15:00,221.321426
