,co2_equivalent_emissions_kg_per_MWh
01/01/2020 00:00,111.564049
01/01/2020 01:00,105.509583
01/01/2020 02:00,96.110977
01/01/2020 03:00,89.079208
01/01/2020 04:00,94.057701
01/01/2020 05:00,120.724411
01/01/2020 06:00,117.237114
01/01/2020 07:00,100.574654
01/01/2020 08:00,98.062363
01/01/2020 09:00,98.049194
01/01/2020 10:00,99.546036
01/01/2020 11:00,110.025894
01/01/2020 12:00,119.439621
01/01/2020 13:00,110.856667
01/01/2020 14:00,115.711121
01/01/2020 15:00,101.575539
01/01/2020 16:00,106.619171
01/01/2020 17:00,113.184952
01/01/2020 18:00,105.761787
01/01/2020 19:00,113.943443
01/01/2020 20:00,111.580429
01/01/2020 21:00,93.845634
01/01/2020 22:00,100.974365
01/01/2020 23:00,99.844154
02/01/2020 00:00,101.097092
02/01/2020 01:00,90.407448
02/01/2020 02:00,83.814789
02/01/2020 03:00,84.357254
02/01/2020 04:00,95.999962
02/01/2020 05:00,112.876869
02/01/2020 06:00,109.778801
02/01/2020 07:00,88.978394
02/01/2020 08:00,99.045769
02/01/2020 09:00,93.796417
02/01/2020 10:00,108.433029
02/01/2020 11:00,115.764725
02/01/2020 12:00,109.067253
02/01/2020 13:00,109.062881
02/01/2020 14:00,96.362846
02/01/2020 15:00,78.323875
02/01/2020 16:00,91.388885
02/01/2020 17:00,79.062675
02/01/2020 18:00,72.387863
02/01/2020 19:00,72.262619
02/01/2020 20:00,73.060959
02/01/2020 21:00,92.078766
02/01/2020 22:00,82.925934
02/01/2020 23:00,77.918442
03/01/2020 00:00,70.482834
03/01/2020 01:00,77.352722
03/01/2020 02:00,82.064133
03/01/2020 03:00,92.412109
03/01/2020 04:00,93.441483
03/01/2020 05:00,122.200012
03/01/2020 06:00,133.268326
03/01/2020 07:00,136.875778
03/01/2020 08:00,162.82515
03/01/2020 09:00,166.807587
03/01/2020 10:00,194.565948
03/01/2020 11:00,161.455017
03/01/2020 12:00,154.195938
03/01/2020 13:00,178.731934
03/01/2020 14:00,168.46608
03/01/2020 15:00,129.787094
03/01/2020 16:00,131.498535
03/01/2020 17:00,120.21727
03/01/2020 18:00,96.915115
03/01/2020 19:00,105.632523
03/01/2020 20:00,108.966309
03/01/2020 21:00,101.962608
03/01/2020 22:00,98.630714
03/01/2020 23:00,109.604546
04/01/2020 00:00,99.369827
04/01/2020 01:00,104.682724
04/01/2020 02:00,100.563644
04/01/2020 03:00,110.730446
04/01/2020 04:00,132.617249
04/01/2020 05:00,124.426064
04/01/2020 06:00,101.435654
04/01/2020 07:00,98.845383
04/01/2020 08:00,102.303398
04/01/2020 09:00,94.465775
04/01/2020 10:00,91.990883
04/01/2020 11:00,94.150589
04/01/2020 12:00,97.262543
04/01/2020 13:00,98.483536
04/01/2020 14:00,108.943466
04/01/2020 15:00,123.398155
04/01/2020 16:00,120.752007
04/01/2020 17:00,114.798187
04/01/2020 18:00,121.146812
04/01/2020 19:00,139.892944
04/01/2020 20:00,149.174377
04/01/2020 21:00,180.720261
04/01/2020 22:00,171.584885
04/01/2020 23:00,166.938446
05/01/2020 00:00,192.211472
05/01/2020 01:00,200.379105
05/01/2020 02:00,205.809021
05/01/2020 03:00,218.076492
05/01/2020 04:00,212.028244
05/01/2020 05:00,191.204163
05/01/2020 06:00,148.767914
05/01/2020 07:00,153.076004
05/01/2020 08:00,127.19928
05/01/2020 09:00,121.033218
05/01/2020 10:00,119.265442
05/01/2020 11:00,125.037209
05/01/2020 12:00,120.11586
05/01/2020 13:00,116.529556
05/01/2020 14:00,114.511681
05/01/2020 15:00,125.536316
05/01/2020 16:00,108.375542
05/01/2020 17:00,121.240128
05/01/2020 18:00,104.04287
05/01/2020 19:00,113.484512
05/01/2020 20:00,94.174072
05/01/2020 21:00,99.156532
05/01/2020 22:00,108.687454
05/01/2020 23:00,116.240486
06/01/2020 00:00,102.182434
06/01/2020 01:00,102.594925
06/01/2020 02:00,133.077286
06/01/2020 03:00,121.470131
06/01/2020 04:00,141.876617
06/01/2020 05:00,126.100571
06/01/2020 06:00,108.476532
06/01/2020 07:00,107.107239
06/01/2020 08:00,92.902054
06/01/2020 09:00,92.778244
06/01/2020 10:00,107.077805
06/01/2020 11:00,99.635864
06/01/2020 12:00,93.08297
06/01/2020 13:00,89.963272
06/01/2020 14:00,89.084579
06/01/2020 15:00,84.092842
06/01/2020 16:00,84.439041
06/01/2020 17:00,92.889534
06/01/2020 18:00,90.939537
06/01/2020 19:00,86.857079
06/01/2020 20:00,97.463211
06/01/2020 21:00,97.957489
06/01/2020 22:00,92.79644
06/01/2020 23:00,103.628815
07/01/2020 00:00,121.29718
07/01/2020 01:00,133.459747
07/01/2020 02:00,121.9319
07/01/2020 03:00,127.65535
07/01/2020 04:00,111.680214
07/01/2020 05:00,124.239746
07/01/2020 06:00,148.729492
07/01/2020 07:00,204.143707
07/01/2020 08:00,229.565918
07/01/2020 09:00,237.632202
07/01/2020 10:00,240.790756
07/01/2020 11:00,196.063217
07/01/2020 12:00,172.32811
07/01/2020 13:00,105.469101
07/01/2020 14:00,99.440353
07/01/2020 15:00,88.803001
07/01/2020 16:00,120.314537
07/01/2020 17:00,95.767441
07/01/2020 18:00,88.7211
07/01/2020 19:00,87.892403
07/01/2020 20:00,87.405258
07/01/2020 21:00,89.4095
07/01/2020 22:00,83.23468
07/01/2020 23:00,110.38121
08/01/2020 00:00,97.954552
08/01/2020 01:00,94.170509
08/01/2020 02:00,88.516617
08/01/2020 03:00,95.694237
08/01/2020 04:00,116.631172
08/01/2020 05:00,129.126312
08/01/2020 06:00,128.886246
08/01/2020 07:00,103.764755
08/01/2020 08:00,141.685318
08/01/2020 09:00,142.822327
08/01/2020 10:00,122.345428
08/01/2020 11:00,119.496307
08/01/2020 12:00,95.924408
08/01/2020 13:00,106.677383
08/01/2020 14:00,119.008331
08/01/2020 15:00,133.879578
08/01/2020 16:00,154.282547
08/01/2020 17:00,154.29216
08/01/2020 18:00,119.279007
08/01/2020 19:00,108.374527
08/01/2020 20:00,92.081459
08/01/2020 21:00,106.908287
08/01/2020 22:00,117.356827
08/01/2020 23:00,128.150375
09/01/2020 00:00,118.768341
09/01/2020 01:00,128.80336
09/01/2020 02:00,136.73201
09/01/2020 03:00,136.225494
09/01/2020 04:00,168.492249
09/01/2020 05:00,252.309052
09/01/2020 06:00,275.746399
09/01/2020 07:00,259.312988
09/01/2020 08:00,218.382568
09/01/2020 09:00,186.714661
09/01/2020 10:00,170.727448
09/01/2020 11:00,139.510422
09/01/2020 12:00,124.369392
09/01/2020 13:00,105.543259
09/01/2020 14:00,87.880661
09/01/2020 15:00,114.96254
09/01/2020 16:00,137.217758
09/01/2020 17:00,125.038734
