,capacity_factor
01/01/2020 00:00,0
01/01/2020 01:00,0
01/01/2020 02:00,0
01/01/2020 03:00,0
01/01/2020 04:00,0
01/01/2020 05:00,0
01/01/2020 06:00,0
01/01/2020 07:00,0
01/01/2020 08:00,0.009
01/01/2020 09:00,0.045
01/01/2020 10:00,0.085
01/01/2020 11:00,0.123
01/01/2020 12:00,0.131
01/01/2020 13:00,0.079
01/01/2020 14:00,0.016
01/01/2020 15:00,0
01/01/2020 16:00,0
01/01/2020 17:00,0
01/01/2020 18:00,0
01/01/2020 19:00,0
01/01/2020 20:00,0
01/01/2020 21:00,0
01/01/2020 22:00,0
01/01/2020 23:00,0
02/01/2020 00:00,0
02/01/2020 01:00,0
02/01/2020 02:00,0
02/01/2020 03:00,0
02/01/2020 04:00,0
02/01/2020 05:00,0
02/01/2020 06:00,0
02/01/2020 07:00,0
02/01/2020 08:00,0
02/01/2020 09:00,0.007
02/01/2020 10:00,0.013
02/01/2020 11:00,0.013
02/01/2020 12:00,0.014
02/01/2020 13:00,0.006
02/01/2020 14:00,0
02/01/2020 15:00,0
02/01/2020 16:00,0
02/01/2020 17:00,0
02/01/2020 18:00,0
02/01/2020 19:00,0
02/01/2020 20:00,0
02/01/2020 21:00,0
02/01/2020 22:00,0
02/01/2020 23:00,0
03/01/2020 00:00,0
03/01/2020 01:00,0
03/01/2020 02:00,0
03/01/2020 03:00,0
03/01/2020 04:00,0
03/01/2020 05:00,0
03/01/2020 06:00,0
03/01/2020 07:00,0
03/01/2020 08:00,0.003
03/01/2020 09:00,0.051
03/01/2020 10:00,0.136
03/01/2020 11:00,0.193
03/01/2020 12:00,0.161
03/01/2020 13:00,0.093
03/01/2020 14:00,0.016
03/01/2020 15:00,0
03/01/2020 16:00,0
03/01/2020 17:00,0
03/01/2020 18:00,0
03/01/2020 19:00,0
03/01/2020 20:00,0
03/01/2020 21:00,0
03/01/2020 22:00,0
03/01/2020 23:00,0
04/01/2020 00:00,0
04/01/2020 01:00,0
04/01/2020 02:00,0
04/01/2020 03:00,0
04/01/2020 04:00,0
04/01/2020 05:00,0
04/01/2020 06:00,0
04/01/2020 07:00,0
04/01/2020 08:00,0.041
04/01/2020 09:00,0.187
04/01/2020 10:00,0.294
04/01/2020 11:00,0.318
04/01/2020 12:00,0.28
04/01/2020 13:00,0.187
04/01/2020 14:00,0.038
04/01/2020 15:00,0
04/01/2020 16:00,0
04/01/2020 17:00,0
04/01/2020 18:00,0
04/01/2020 19:00,0
04/01/2020 20:00,0
04/01/2020 21:00,0
04/01/2020 22:00,0
04/01/2020 23:00,0
05/01/2020 00:00,0
05/01/2020 01:00,0
05/01/2020 02:00,0
05/01/2020 03:00,0
05/01/2020 04:00,0
05/01/2020 05:00,0
05/01/2020 06:00,0
05/01/2020 07:00,0
05/01/2020 08:00,0
05/01/2020 09:00,0.008
05/01/2020 10:00,0.018
05/01/2020 11:00,0.022
05/01/2020 12:00,0.017
05/01/2020 13:00,0.005
05/01/2020 14:00,0
05/01/2020 15:00,0
05/01/2020 16:00,0
05/01/2020 17:00,0
05/01/2020 18:00,0
05/01/2020 19:00,0
05/01/2020 20:00,0
05/01/2020 21:00,0
05/01/2020 22:00,0
05/01/2020 23:00,0
06/01/2020 00:00,0
06/01/2020 01:00,0
06/01/2020 02:00,0
06/01/2020 03:00,0
06/01/2020 04:00,0
06/01/2020 05:00,0
06/01/2020 06:00,0
06/01/2020 07:00,0
06/01/2020 08:00,0
06/01/2020 09:00,0.003
06/01/2020 10:00,0.006
06/01/2020 11:00,0.007
06/01/2020 12:00,0.014
06/01/2020 13:00,0.017
06/01/2020 14:00,0
06/01/2020 15:00,0
06/01/2020 16:00,0
06/01/2020 17:00,0
06/01/2020 18:00,0
06/01/2020 19:00,0
06/01/2020 20:00,0
06/01/2020 21:00,0
06/01/2020 22:00,0
06/01/2020 23:00,0
07/01/2020 00:00,0
07/01/2020 01:00,0
07/01/2020 02:00,0
07/01/2020 03:00,0
07/01/2020 04:00,0
07/01/2020 05:00,0
07/01/2020 06:00,0
07/01/2020 07:00,0
07/01/2020 08:00,0.006
07/01/2020 09:00,0.052
07/01/2020 10:00,0.14
07/01/2020 11:00,0.172
07/01/2020 12:00,0.152
07/01/2020 13:00,0.093
07/01/2020 14:00,0.018
07/01/2020 15:00,0
07/01/2020 16:00,0
07/01/2020 17:00,0
07/01/2020 18:00,0
07/01/2020 19:00,0
07/01/2020 20:00,0
07/01/2020 21:00,0
07/01/2020 22:00,0
07/01/2020 23:00,0
08/01/2020 00:00,0
08/01/2020 01:00,0
08/01/2020 02:00,0
08/01/2020 03:00,0
08/01/2020 04:00,0
08/01/2020 05:00,0
08/01/2020 06:00,0
08/01/2020 07:00,0
08/01/2020 08:00,0.019
08/01/2020 09:00,0.129
08/01/2020 10:00,0.24
08/01/2020 11:00,0.29
08/01/2020 12:00,0.288
08/01/2020 13:00,0.128
08/01/2020 14:00,0.016
08/01/2020 15:00,0
08/01/2020 16:00,0
08/01/2020 17:00,0
08/01/2020 18:00,0
08/01/2020 19:00,0
08/01/2020 20:00,0
08/01/2020 21:00,0
08/01/2020 22:00,0
08/01/2020 23:00,0
09/01/2020 00:00,0
09/01/2020 01:00,0
09/01/2020 02:00,0
09/01/2020 03:00,0
09/01/2020 04:00,0
09/01/2020 05:00,0
09/01/2020 06:00,0
09/01/2020 07:00,0
09/01/2020 08:00,0.003
09/01/2020 09:00,0.013
09/01/2020 10:00,0.011
09/01/2020 11:00,0.01
09/01/2020 12:00,0.008
09/01/2020 13:00,0.004
09/01/2020 14:00,0
09/01/2020 15:00,0
09/01/2020 16:00,0
09/01/2020 17:00,0
09/01/2020 18:00,0
09/01/2020 19:00,0
09/01/2020 20:00,0
09/01/2020 21:00,0
09/01/2020 22:00,0
09/01/2020 23:00,0
10/01/2020 00:00,0
10/01/2020 01:00,0
10/01/2020 02:00,0
10/01/2020 03:00,0
10/01/2020 04:00,0
10/01/2020 05:00,0
10/01/2020 06:00,0
10/01/2020 07:00,0
10/01/2020 08:00,0.007
10/01/2020 09:00,0.038
10/01/2020 10:00,0.07
10/01/2020 11:00,0.088
10/01/2020 12:00,0.07
10/01/2020 13:00,0.038
10/01/2020 14:00,0.006
10/01/2020 15:00,0
10/01/2020 16:00,0
10/01/2020 17:00,0
