,capacity_factor
01/01/2020 00:00,0.753
01/01/2020 01:00,0.759
01/01/2020 02:00,0.771
01/01/2020 03:00,0.77
01/01/2020 04:00,0.781
01/01/2020 05:00,0.822
01/01/2020 06:00,0.851
01/01/2020 07:00,0.862
01/01/2020 08:00,0.859
01/01/2020 09:00,0.841
01/01/2020 10:00,0.844
01/01/2020 11:00,0.851
01/01/2020 12:00,0.852
01/01/2020 13:00,0.844
01/01/2020 14:00,0.823
01/01/2020 15:00,0.839
01/01/2020 16:00,0.843
01/01/2020 17:00,0.83
01/01/2020 18:00,0.815
01/01/2020 19:00,0.812
01/01/2020 20:00,0.783
01/01/2020 21:00,0.754
01/01/2020 22:00,0.77
01/01/2020 23:00,0.774
02/01/2020 00:00,0.791
02/01/2020 01:00,0.835
02/01/2020 02:00,0.86
02/01/2020 03:00,0.885
02/01/2020 04:00,0.904
02/01/2020 05:00,0.914
02/01/2020 06:00,0.922
02/01/2020 07:00,0.897
02/01/2020 08:00,0.918
02/01/2020 09:00,0.924
02/01/2020 10:00,0.921
02/01/2020 11:00,0.922
02/01/2020 12:00,0.933
02/01/2020 13:00,0.931
02/01/2020 14:00,0.933
02/01/2020 15:00,0.939
02/01/2020 16:00,0.947
02/01/2020 17:00,0.955
02/01/2020 18:00,0.964
02/01/2020 19:00,0.973
02/01/2020 20:00,0.978
02/01/2020 21:00,0.982
02/01/2020 22:00,0.984
02/01/2020 23:00,0.984
03/01/2020 00:00,0.985
03/01/2020 01:00,0.985
03/01/2020 02:00,0.983
03/01/2020 03:00,0.976
03/01/2020 04:00,0.968
03/01/2020 05:00,0.953
03/01/2020 06:00,0.914
03/01/2020 07:00,0.851
03/01/2020 08:00,0.772
03/01/2020 09:00,0.696
03/01/2020 10:00,0.696
03/01/2020 11:00,0.728
03/01/2020 12:00,0.706
03/01/2020 13:00,0.671
03/01/2020 14:00,0.706
03/01/2020 15:00,0.758
03/01/2020 16:00,0.789
03/01/2020 17:00,0.837
03/01/2020 18:00,0.886
03/01/2020 19:00,0.937
03/01/2020 20:00,0.976
03/01/2020 21:00,0.986
03/01/2020 22:00,0.989
03/01/2020 23:00,0.99
04/01/2020 00:00,0.991
04/01/2020 01:00,0.991
04/01/2020 02:00,0.988
